reviewer,stars,title,review,date,country
Samantha,5,Great read,"Great read. As a Malcolm Gladwell fan, I wasn't surprised that I loved this book.  I would recommend this as it is a great read.",2019-02-11,Canadá
daniel ball,5,Amazingly insightful,"Amazingly insightful. Just a remarkable book. Well researched and written, Gladwell makes you feel as though you are finding the answers to these questions and learning together. Highly recommend.",2019-09-30,Austrália
wild,5,Great book,Great book. Very easy and mostly entertaining book.,2019-11-07,Canadá
CCC,1,Extremely boring!,"Extremely boring!. I love reading, and I honestly tried my best but I simply couldn't finish this book!  Gladwell goes on and on and spends full chapters saying something that could have been done in a paragraph... So many pointless things...  I felt such a waste of my time trying to finish the book. If I could I would ask my money back!",2014-11-04,Reino Unido
Anita Mitchell,5,Xmas gift for son-in-law,Xmas gift for son-in-law. Xmas gift and it was on his list so am sure he will be pleased,2018-12-09,Canadá
Tony Gatto,5,Excellent read,"Excellent read. Excellent, easy to read and very insightful",2021-03-07,Canadá
Amazon Customer,4,Great Read,Great Read. Great story teller. My favorite author who is always looking at unique subject from a different angle. In some chapters too much details which make it a bit boring.,2021-05-16,Canadá
joud,3,Didnotnlive to the expectations,Didnotnlive to the expectations. If u expect it's going to be as good as the tipping point and daivd and goliath you're going to be disappointed. He has good points an ideas but it doesnt live up to the expectations,2020-05-05,Canadá
Alison Cairns,5,Love this book - just read for second time,Love this book - just read for second time. So many useful ideas in this book and love the data that sits behind everything.  Well written,2020-01-03,Austrália
M. Catherine Knox,5,Outliers,Outliers. Love Malcolm Gladwell!  This book arrived quickly and as described.,2020-01-31,Canadá
Amazon Customer,4,Pretty good,Pretty good. Good book.  Great writer,2019-06-06,Canadá
Nik,3,"Great book, terrible condition.","Great book, terrible condition.. This book is awesome, definitely recommend. I already own a copy but bought this one used. It was advertised as used but in good condition. This book is creased, dirty, and just overall in bad shape. Not as advertised, and quite a disappointment.",2020-12-12,Canadá
Junior Williams,5,Exceeding my expectations.,Exceeding my expectations.. Topic is fascinating. I've known about the book from my brother going back around 16 yrs ago.,2021-11-03,Canadá
Tom Owen,4,Four Stars,"Four Stars. Great book, makes clear and concise connections between demographics, history, culture and intellect.",2018-03-28,Canadá
by grace,3,"Some interesting insights, but more proof needed","Some interesting insights, but more proof needed. Gladwell has some very interesting insights into success and I must admit that it opened my eyes to the background of successful people. However, many of the relationships touted between success and social factors are correlative, I would have liked to see him expound further to elucidate the causal relationship.",2015-05-07,Austrália
megan,3,Good,Good. Was an interesting read. New insights to ponder on success. I found some of the stories and points a bit too repetitive at times.,2018-11-05,Canadá
Frederik,5,Fantastic,Fantastic. Great book. Gives some interesting stories to explain how some peoplenbecome outliers. A great book also to understand some parts of our history,2016-03-21,Canadá
Nancy B,4,Inspiration for those who appear to be out of step.,"Inspiration for those who appear to be out of step.. Gladwell is always a great read. His ability to take diverse stories and weave them into a form that supports his thesis is wonderful. Good stories, good premise. Thanks Malcolm.",2015-11-26,Canadá
Muchamad Abdullah Taufiq,5,A thought-provoking book,"A thought-provoking book. While it has been known that the chances, opportunities, privileges play vital roles for success, this book explains it really well",2020-07-15,Austrália
Monica,5,I Recommend,"I Recommend. I loved this book! Never boring, very interesting, gave me a new perspective on the importance of work ethic!",2021-05-26,Canadá
Lance,5,Inspiring call to action,Inspiring call to action. I always enjoy malcolm gladwell's way of thinking. In this book he looks at what are the ingredients of success and the circumstances that lead them there.,2019-11-11,Canadá
Nik,5,All good,All good. All good,2022-02-26,Canadá
Rlaw,5,Wonderful read,"Wonderful read. Great read, very insightful & educating. I really enjoyed learning about reasons for success beyond the outlier's control.",2020-12-07,Canadá
Diego Elera,5,Inspiring Read,"Inspiring Read. Very good read, this book helped open my eyes and view the world in a different way. I always thought that rich amd successful people were born that way, I never knew that luck had such a big factor in it.",2013-07-09,Canadá
Ewan Robertson,5,Good way to kill a couple of days at lake reading book,Good way to kill a couple of days at lake reading book. Was interesting read,2019-02-27,Canadá
UVBoy,4,Super interesting. I'm Canadian so I love the hockey ...,"Super interesting. I'm Canadian so I love the hockey .... 2/3 done the book.  Super interesting.  I'm Canadian so I love the hockey references :)  Has made me look at 'secrets of success' a little harder, and with a circumspection that I didn't have before.",2014-12-04,Canadá
Martin Turner,5,The unfairness of success -- an unexpectedly important book,"The unfairness of success -- an unexpectedly important book. In Outliers, journalist Malcolm Gladwell examines the accidents of birth date, language, heritage and culture which give particular individuals a head-start in life -- or, equally, result in catastrophic failures. Although journalistic rather than scientific in style, Gladwell makes a wide range of compelling points which become stronger the more you think about them. This is an exceptional book and -- unlike so many of the books of this type -- really does make a significant contribution to how we view our world.",2011-08-21,Reino Unido
xrmolina,5,Loved it,Loved it. I loved this book. Its nice to see how some people became succesful. I would recommend this book for sure. Good reading material.,2017-01-05,Canadá
Rob,5,A great read,A great read. Highly recommended,2019-08-13,Austrália
Amazon Customer,5,Must read,Must read. Must read,2018-12-13,Canadá
Stryder,5,May the odds be ever in your favor.,"May the odds be ever in your favor.. An interesting, thought provoking and entertaining read.  Timing, preparation, and opportunity. 2/3 of which is out of your control. Good Luck takes on a whole new flavor as Gladwell presents a series of fascinating case studies showing the highs and lows of success and reminding us all how blessed we are.",2015-04-08,Canadá
Lemar,5,Awesome read for motivation,"Awesome read for motivation. I must admit starting the book with references on sports were not very interesting since I am not a sports fan, however the whole point was to reference how people's circumstances translates into an opportunity. With each example he gave, he backed it up with reasonable background information.",2014-01-20,Canadá
sterling archer,5,An amazing and enlightening read,An amazing and enlightening read. One of the most interesting books I have read in a long time.  It really makes you think about what you are doing in your life that could change.,2018-06-14,Canadá
Andrew Coffey,5,Read this for humbling insights about success.,Read this for humbling insights about success.. Everyone should read this book for an insight into what creates success. Reading this will be a humbling experience for some.,2020-03-29,Austrália
Stephen,5,Love the time of the year you were born facts,Love the time of the year you were born facts. Very interesting facts.,2018-11-24,Canadá
Amazon Customer,5,Came fast and in great condition.,Came fast and in great condition.. Nothing bad to say. The book came fast and in such a great condition for the price.,2021-05-11,Canadá
Gavin Vawda,1,Disappointed,"Disappointed. I ordered 'Outliers', but instead I got 'A Dummies Guide to Vegan Living'.",2019-10-25,Canadá
Justice Q. Yongo Oak-Lord,5,Awesome,Awesome. Awesome,2019-08-08,Canadá
Mike Lumley,4,Four Stars,Four Stars. no issues,2018-04-04,Canadá
JPG,5,Should be required reading for all parents,Should be required reading for all parents. I read  a library copy of the book and decided I must have my own copy. This was the reason for my purchase. I am convinced this should be required reading for any person who is or wants to be a parent.,2012-12-01,Canadá
Mr. John Frank Herbert,3,The Truth Is Outlier,The Truth Is Outlier. This is my first non-fiction review.,2009-03-22,Reino Unido
RUTH,5,Five Stars,Five Stars. easy read!,2018-11-17,Canadá
Tim Tucci,5,Five Stars,"Five Stars. Malcolm's ""One, two three and a puff of smoke"" is always pithy, entertaining and informative.",2016-08-19,Canadá
Kelu huang,5,GOOD!,GOOD!. I'm like it,2018-11-14,Canadá
Laurence Bourque,5,5 stars,"5 stars. Such a great book, ai can't stop reading it! Arrived fast and was in excellent shape.",2018-08-12,Canadá
michael,5,Success is sometimes being in the right place with the right skill set.,Success is sometimes being in the right place with the right skill set.. well written with a very interesting angle. Enjoyed it.,2019-09-30,Canadá
Y Lian,5,The book came in perfect conditions. It's a great book,The book came in perfect conditions. It's a great book. The book came in perfect conditions. It's a great book. Malcolm Gladwell was good at story telling and the research behind all those stories was easy to understand. Fascinating!,2017-02-09,Canadá
figamus,5,Success is never achieved alone.,Success is never achieved alone.. I read his books because of a Sixty Minutes piece.They never disappoint and show that we are the same of our parts and connections we cannot control. opportunity meets luck.,2014-10-27,Canadá
M&H,5,A must read book !,A must read book !. A must read !,2020-09-10,Canadá
Teetee,4,Four Stars,Four Stars. good read,2018-03-16,Canadá
Amazon Customer,5,Thank you,Thank you. Thank you,2019-01-11,Canadá
M. Simmons,3,Cheese,Cheese. Cheese,2018-08-28,Canadá
Marsha Law,5,A profound paradigm shift.,A profound paradigm shift.. Gladwell sure knows how to turn beliefs and conventional wisdom on their ears. Deeply thought through and well researched.,2015-12-28,Canadá
Frances,4,A quick read,"A quick read. I found this to be a very interesting view on success and successful people.  The author has a very unique way of bringing forth the 'right time-right place' expression. He also provided amazing visuals within his stories, and the differences between how we are raised and where we come from.  Please do remember, that having old, family money or looking good still has its advantages.",2013-06-10,Canadá
Lawrence of Canadia,5,free state books US is a good distributor,"free state books US is a good distributor. free state books US is a good distributor: got my copy w very little markings, only signs of age, air exposure to the pages i bet. it had been in a library.",2017-02-20,Canadá
Angela,5,Great!,Great!. Not finish reading it yet. But so far so good.,2017-09-13,Canadá
Jennifer Vanden Broek,5,So interesting! Would recommend,"So interesting! Would recommend. It was a great book, highly recommended",2022-03-02,Canadá
Dr. John Morrissey Exp,5,Outliers,"Outliers. As usual, Gladwell does an outstanding job of exposing the critical issues we face and how they are best dealt with.",2015-08-23,Canadá
Alexandra,4,Remarkable,"Remarkable. I thought this was a remarkable book and highly thought provoking.  So hard work really does and can pay off!  There is world beyond high IQ.  Gladwell enriches his story with expertly interlaced empirical evidence and 'real life' international stories that makes his case, as he builds it,  eminently readable. A must read for anyone interested in 'social history' and/or 'success' in general.",2012-01-01,Reino Unido
Theresa,5,Five Stars,Five Stars. My son loves it.,2018-04-29,Canadá
Amazon Customer,5,Five Stars,Five Stars. As advertised,2017-02-16,Canadá
Steph,3,Interesting,Interesting. Interesting and easy read. Very informative and puts a lot of perspective on some success stories but it generalizes and zones in on specific success stories.,2013-01-17,Canadá
Hans,5,Happy reading,Happy reading. A good read.,2020-12-03,Canadá
Amazon Customer,4,Four Stars,Four Stars. It is quite an interesting read.,2016-02-08,Canadá
BK,3,Good but not great,"Good but not great. Good read, builds his case very well on how we are a product of legacy and community rather than only our choices but does not tackle how to use that for one's benefit. While it's enjoyable to read, it does not change you in any way!",2016-10-17,Austrália
Kilo Charlie,5,An Excellent book!,An Excellent book!. This book completely blew my mind and changed my thinking about what constitutes success.  It's given me a fresh perspective on my own life and some gold nuggets of truth for the future. I highly recommend this book to anyone out there who's searching for some answers about what it means to be successful and how to go about achieving it.,2010-04-26,Reino Unido
Anne G,5,"Well, just as listed, a brand new book.","Well, just as listed, a brand new book.. Brand new book, I don't know what else to say.",2020-08-07,Austrália
RON STUBBINGS,5,A Fantastic Read!,A Fantastic Read!. All the Gladwell books are great and 'Outliers' is the most exceptional. Malcolm Gladwell has a gift for taking complex subject matter and making it a pleasure.,2013-07-05,Canadá
Amazon Customer,5,Well written,Well written. Interesting,2021-04-28,Canadá
Mrs Christine E Street,5,Amazing stories and Challenging truths!,Amazing stories and Challenging truths!. One of the most gripping non-fiction books I've read to date. The statistics were intriguing and the connections made are the result of extraordinary divergent thinking. A must read for those who are interested in success!,2016-06-25,Austrália
Amazon Customer,5,Excellent jsut like all the previous Malcolm Gladwell books I ...,Excellent jsut like all the previous Malcolm Gladwell books I .... Excellent jsut like all the previous Malcolm Gladwell books I have read thus far.,2016-03-17,Canadá
Michel,4,Acknowledging success as it really is in reality,"Acknowledging success as it really is in reality. Although the book is a bit long for its core message,  it is a great read.",2016-08-31,Canadá
Amazon Customer,1,Came used and cover looks like it was printed from a printer n taped on,Came used and cover looks like it was printed from a printer n taped on. Absolutely terrible. Don’t waste your time. Condition was -10,2022-01-08,Canadá
Lou VanDelman,4,Four Stars,Four Stars. Great book,2016-12-16,Canadá
Step,5,must read,"must read. such a good book. Malcom Gladwell produces one hit after another, his books are easy to follow and definitely offer a different perspective on things. Totally recommend this!",2014-03-01,Canadá
Steve MacMillan,5,Must read for those who want to know what makes some people successful and others not so much.,"Must read for those who want to know what makes some people successful and others not so much.. I found it to be a very enlightening read as it was reinforced that success is earned, not given. Circumstances do play a part but not entirely. I recommend this book to everyone.",2014-05-13,Canadá
Amazon Buyer,5,Great!,Great!. Great,2019-11-29,Canadá
Amazon Customer,5,Really good,Really good. Gladwell is a great author. His style is great and so is his information. Great book.,2017-05-24,Canadá
Jay,5,wow,wow. awesome book...well written...excellently researched...wow.,2017-05-30,Canadá
Sunny,5,Good,Good. Excellent Read! Highly recommend! Arrived quickly. No issues,2016-03-13,Canadá
Mr. P. Holt,5,Is your future already decided?,"Is your future already decided?. In Malcolm Gladwell's third book, Outliers he looks at why there are people who are outside the normal population, those who excel, he investigates why these people are so great.",2010-03-29,Reino Unido
Kingsley Ojukwu,5,Good read,Good read. Mildly used and great read,2019-11-17,Canadá
Amazon Customer,3,Three Stars,Three Stars. Not quite what I expected but an interesting read none the less.,2018-05-04,Canadá
Dan B.,4,Four Stars,Four Stars. Ver interesting read,2016-12-12,Canadá
Sean Gold,5,Five Stars,"Five Stars. I like the way Malcolm writes, so of course I love it!! Shipping was prompt!",2014-11-05,Canadá
Taiye ahmed,5,Educational.,Educational.. Very informative.,2021-03-13,Canadá
E. ROBERT CHOUINARD,4,Good read,Good read. Good read!,2016-10-26,Canadá
chems,5,!!!!,!!!!. TO READ!!! JUST TO IT,2021-01-10,Canadá
Dani,5,so worth the read!,"so worth the read!. An amazing book that really makes you think. Buy it and read it now, trust me you wont regret your move!",2013-05-17,Canadá
Leayoo,5,.,.. Nice!,2020-08-01,Canadá
Brian Herring,5,Five Stars,Five Stars. Excellent,2018-07-22,Canadá
Reg Lalach,5,Malcolm Gladwell keeps writing books I have to read!,Malcolm Gladwell keeps writing books I have to read!. Malcolm Gladwell keeps writing books I have to read! Love his concepts and research.,2014-12-23,Canadá
Amazon Customer,4,Four Stars,Four Stars. Good read,2016-04-29,Canadá
jane,5,"Fast delivery, good quality paper","Fast delivery, good quality paper. Fast delivery, best quality for price, have little mark on cover the rest okay",2021-01-27,Austrália
Carrie,5,Perfect,"Perfect. Perfect……But I just started reading, why do you force me to write a comment? My friend recommend this book for me, and it seems it's an interesting book with very different views.",2015-05-17,Canadá
Amazon Customer,5,Great book,Great book. This book is great!!!,2018-11-19,Canadá
Juge in Montreal,5,Another great Gladwell book.,"Another great Gladwell book.. Strongly recommended. Easy read but inspiring.  As usual,  Gladwell opens your eyes to illustrate what you've always looked at but never really saw",2016-08-24,Canadá
Young Guns,3,Outliers,Outliers. I liked the first chapter and then it all became a bit repetitive.  I enjoyed the author's writing style and compliment him on his research.,2009-08-21,Canadá
bw,5,"Great book, good price","Great book, good price. Great book, good price",2020-12-07,Austrália
Customer,5,"This is a great book, very insightful and interesting too","This is a great book, very insightful and interesting too. This is a great book, very insightful and interesting too!  Looking forward to reading his other books as well.",2017-10-16,Canadá
O.T,5,Five Stars,Five Stars. Well told stories about outliers.,2017-09-30,Austrália
mavius,2,Two Stars,"Two Stars. books are well written, dumbly logic.",2015-11-03,Canadá
Oliver Gu,5,Good book,Good book. So true,2018-10-04,Canadá
Rick Hunt,5,a great,a great. Very interesting book.....a great read,2018-02-02,Canadá
Jules Blundell,5,awesome,awesome. A brilliantly written book that has kept my mind spinning for days. Everyone should read this book and share it with their friends.,2014-06-21,Austrália
dakotah noseworthy,5,Good service,Good service. Great book. Good condition and reasonable price.,2020-01-01,Canadá
Fawn Reay,5,Excellent read,Excellent read. Great book!,2021-02-24,Canadá
Amazon Customer,5,Good Read,Good Read. Good Read.,2019-11-17,Canadá
Ian the Artist,3,A thousand words read make you the expert,A thousand words read make you the expert. An interesting proposition well illustrated through examples but it follows the Gladwell formula. You'll enjoy it if it's a first but there are few surprises for sociology aficionados .,2014-09-20,Austrália
Valérie Provost,5,Good quality book,Good quality book. Good quality!,2019-08-22,Canadá
Jay,4,Good,Good. Good,2021-03-10,Canadá
Steve Young,3,Three Stars,Three Stars. 1000 HOURS.... IT IS TRUE,2016-12-09,Canadá
Tario,4,love it!,love it!. must read! love it!,2018-03-10,Canadá
Helene,5,Five Stars,Five Stars. Very satisfied.,2016-12-03,Canadá
wilson,3,kinda boring,"kinda boring. high expectation for this book, but after reading half the book, i stopped. I felt like things were jumping around and many things are already obvious to me",2013-11-19,Canadá
A. Perri,3,"Has promise, but fell short","Has promise, but fell short. When I ordered this book I thought it definitely had the potential to be an interested read - and it was. I dont disagree with the idea that some of the theories in this book could actually work, but the way the author went about proving them really threw me. As a scientist it is blatantly obvious when people are manipulating statistics. The author seemed to be cherry-picking numbers to fit his model, which is unfortunate because many of these models probably do work, he just went about showing that in the wrong way.",2010-03-19,Reino Unido
Joan Gibbs,5,Five Stars,Five Stars. Amazing book revealing truths we often miss.  Very insightful,2016-12-16,Canadá
Leonard Polivnick,4,When were you born?,"When were you born?. Well written, thought provoking book. A very good read.",2016-06-14,Austrália
Amazon Customer,5,Five Stars,Five Stars. Great book!! Priceless!,2017-03-27,Canadá
Gursharan singh,5,Five Stars,Five Stars. Nice,2017-01-24,Canadá
luke griffiths,5,Really intersting and well written. Both concise and fascinating ...,"Really intersting and well written. Both concise and fascinating .... Really intersting and well written.  Both concise and fascinating.  Am Eager to read more from this Author, especiallying Tipping Point!",2014-11-06,Austrália
Anma,5,A book full of revelation,"A book full of revelation. I read previous works from Malcolm Gladwell, such as blink and the tipping point and was looking forward to read this one; it is the same level of achievement.",2011-11-27,Reino Unido
Gloria Busch,5,Five Stars,Five Stars. My husband loved this book.,2015-09-21,Canadá
Michelle,5,Five Stars,Five Stars. Very good condition thank you,2016-03-07,Canadá
Kublai,2,"Interesting, but Selective Evidence","Interesting, but Selective Evidence. This is a book with lots of interesting and entertaining stories which shed some light on how culture affects and propels geniuses to greatness. Unfortunately it is also a collection of very selective evidence, linked by faulty reasoning, which leads to a book of some wisdom but a lot of false statements and beliefs.",2015-11-20,Reino Unido
reynald raill,5,Five Stars,Five Stars. excellent with 5stars,2014-10-12,Canadá
Mt123,4,Another great read by Malcolm Gladwell,Another great read by Malcolm Gladwell. great book about success and the elite and the way they achieve it!,2015-10-25,Canadá
doug915,5,Five Stars,Five Stars. Great,2015-07-06,Canadá
Trish ONeill,5,Malcolm Gladwells best,Malcolm Gladwells best. One amazing thought provoking book.,2015-09-23,Austrália
Elby,5,Great for first time parents.,Great for first time parents.. I'm about to have a baby and this is a great read for expectant parents. I loved this book. Definitely would recommend it.,2014-12-10,Austrália
Elizabeth Velasquez,5,OUTSTANDING I Love Malcolm Gladwell,OUTSTANDING I Love Malcolm Gladwell. OUTSTANDING  I Love Malcolm Gladwell.  Exceptional,2014-12-05,Canadá
Dave Boulianne,5,Five Stars,Five Stars. #1,2015-10-13,Canadá
Wongr,5,Five Stars,"Five Stars. Excellent information, easy to read and extensive research to illustrate concept presented.",2014-08-09,Canadá
Brigitte,5,Five Stars,"Five Stars. amazing read, everybody needs to read this book!",2014-11-16,Canadá
Liz Duchene,5,good,"good. condition as stated, good value",2014-11-02,Canadá
Doug Pullan,5,Five Stars,"Five Stars. Good service, Very satified",2015-08-31,Canadá
Jimmy Meng,4,Four Stars,Four Stars. Good!,2017-03-23,Canadá
Ben,5,Five Stars,Five Stars. Right on time. 5/5,2015-01-28,Canadá
BDY,5,Five Stars,Five Stars. Excellent book,2015-07-18,Canadá
Ben Finn,2,A string of anecdotes doth not a theory make,"A string of anecdotes doth not a theory make. This started out as an interesting book - the first Gladwell I've read - though I gave up on it halfway through. The reason being, it's written in a highly populist style, full (as far as I got) of lengthy anecdotes about individuals' life stories, which he stitches together to form an argument. But if you're arguing for what is in essence an academic theory, a bunch of increasingly tedious stories - mere anecdotal evidence - interspersed with bits of breathless journalistic reasoning just doesn't cut the mustard. So I got bored after a while and gave up.",2015-11-16,Reino Unido
"Caroline Flanagan, Author of Be The First",5,"Your success IS down to luck, at least partly","Your success IS down to luck, at least partly. A brilliant book by an incredible storyteller with a profound and powerful message: it’s time to stop the glorification of genius and talent, and recognise success for what it is - a mix of opportunity, culture, luck, commitment and hard work.",2018-09-02,Reino Unido
Sohnee,5,Re-frames Success,Re-frames Success. I have enjoyed every book Malcolm Gladwell has written - his style weaves real-life examples together to support some big ideas and the examples in Outliers are rather compelling. From Hockey Leagues to healthy towns - the concept of Outliers is illustrated perfectly.,2016-08-07,Reino Unido
Nicolle,5,"Insightful, knowledgable and fun.","Insightful, knowledgable and fun.. Brilliant book which really opened my eyes to how different factors other than so called ""pure genious"" can contribute to success. It was written in such a way that I didn't get bored and looked forward to reading it everyday.",2017-04-16,Reino Unido
K F HASAN,5,Five Stars,Five Stars. Useful book. A lot of things to learn from this book.,2014-09-07,Reino Unido
Darren,5,Bounce now outliers,Bounce now outliers. Another fascinating insight into the story of success. I first read Bounce which roused my curiosity on success and now Outliers further provides evidence that hard work and a great amount of luck can determine future success. As a teacher and sports coach these two books have had a profound affect on my thinking and therefore my work.,2015-03-22,Reino Unido
Frazinho,4,Interesting and thought provoking,"Interesting and thought provoking. This book was recommended to me by Amazon (thanks, BTW), and I found it an interesting and insightful read. Gladwell has clearly done his research, and follows it up with a fluid and thought provoking journey through a number of 'events' and biography's that demonstrate how the sum of the parts in a given situation or success story play a more  important role than an individual incident or skill alone. Worth a read.",2016-10-15,Reino Unido
jj,2,Disappointment,"Disappointment. I had higher expectations due to all the hype surrounding this book. The narrative is incoherent, he jumps from one topic to another in a seemingly random assortment of stories only to end with some sort of a anti-racism statement as conclusion.",2017-03-21,Reino Unido
samirasta,2,this is not at all in good condition; i am a good customer of worldbooks ...,this is not at all in good condition; i am a good customer of worldbooks .... this is not at all in good condition ; i am a good customer of worldbooks and i have already purchased other books previously like Einestein :his life and Universe ; Courage: the Joy of Living Dangerously (Insights for a New Way of Living) .,2014-12-30,Reino Unido
Stef Kormylo,4,A rational and sober explanation of events which might otherwise seem miraculous,A rational and sober explanation of events which might otherwise seem miraculous. Provides accessible insight and great clarity without the need for grandiose language or overly complex analogies. Gladwell states his case with style and grace. Both informative and entertaining - worth the money.,2013-07-10,Reino Unido
Glen Robinson,5,An important book,"An important book. This is not just a good book. This is an important book. One of the first things I realized in reading this book by Malcolm Gladwell is that his position is diametrically opposite from that of Dr. Ben Carson, who through his campaign for the presidency stated that ""poverty is a state of mind."" Carson emphasized that despite all odds he was able to pull himself out of poverty and become a neurosurgeon and accomplish the things he did.",2017-07-03,Estados Unidos
David Smith,5,Another point of view,Another point of view. A great book that opens your mind up to a different way of thinking.,2015-03-23,Reino Unido
Nickmit,5,Gladwell is a genius,"Gladwell is a genius. Malcolm Gladwell is uniquely gifted in being able to first identify common assumptions and beliefs of social importance that are in fact questionable, then to make inspired connections that build a case for a contrarian perspective, and finally to present the evidence in a totally compelling, non-patronising and inspirational way. I have now bought 14 copies of Outliers for family and friends. Anyone with half a brain and an enquiring mind must read it. What a xmas present it makes!  And, by the way, his latest book - 'What the dog saw' is just as inspirational - a fantastic expose of error and misunderstanding on matters of huge significance. We should treasure visonaries and communicators like Malcolm Gladwell.",2010-08-09,Reino Unido
AR,4,Extremely inspiring! This book offers an alternative perspective on the requirement for success,"Extremely inspiring! This book offers an alternative perspective on the requirement for success. 'Outliers' is really a masterpiece. It challenges the 'rags to riches' concept in which individual prowess is often given too much credit for. Malcolm argues that there are conditions that give rise to these outliers. in this book, he explores the different conditions for an extraordinary success (whether in sports, law, music, art and other fields) and points out that for one to succeed big time, one needs more than a great IQ or a genius mind. The only negative aspect is that the book gets kindda repetitive towards the end.",2017-08-18,Reino Unido
John Walsh Kay Walsh,4,Four Stars,Four Stars. Not bad,2015-05-04,Reino Unido
Amazon Customer,2,A thought bubble that lacks substance,"A thought bubble that lacks substance. OK, so I like Gladwell's books.  Typically he rises above the noise and hyperbole we expect from the 'guru' class of North American authors. He usually avoids pseudo-science and stimulates deep thinking and interesting from hidden systems-level linkages.  Well, usually.....In Outliers the reliance on narrative and the absence of substance left me feeling this book was  just a thought bubble generating revenue in between the real works.  Interesting but, at the price, adding little to my own understanding or deeper reflection his earlier and last works triggered.  I started to skip through anecdotes that were too U.S. culturally oriented to translate beyond a specific context. Meant to be 'case studies' these stories produced threads of logic that didn't knit together.  Upon reaching the end I literally threw may hands because I was still waiting for the punch line.  Maybe I had completely missed the point. Maybe it is me and I simply ""didn't get it""...",2014-07-26,Austrália
Boikanyo Phenyo,4,Four Stars,Four Stars. Amazing read 👌🏾,2017-04-12,Reino Unido
Karis Higson,5,"Buy it now, you won't regret it.","Buy it now, you won't regret it.. One of my favourite ever books. Gladwell is an awesome writer who provides such an educated, interesting insight on things that you just hadn't considered. This book has honestly changed the way i now think about things. Everyone should read this book.",2017-01-09,Reino Unido
Arron Tolan,5,Believe the hype,"Believe the hype. Online reviews can only do so much to enhance the reputation of a literary and intellectual work on the scale of Outliers and, needless to say, the book deserves it's stellar reputation.",2017-06-13,Reino Unido
Fabulous37,5,"Nice, simple and informative reading","Nice, simple and informative reading. One of the best books that I've read in a long time. Haven't finished it yet but so far there are some valuable bits of information that really challenge the way I looked at success. Written in a style that makes it easy to follow once you get past the first chapter (imo). Glad I purchased it.",2017-05-03,Reino Unido
Graham Mc Cormack,5,"... few of Malcolm Gladwells other books - this didnt disappoint, well worth a read","... few of Malcolm Gladwells other books - this didnt disappoint, well worth a read. Ive read Blink and wanted to try a few of Malcolm Gladwells other books - this didnt disappoint, well worth a read.",2017-04-06,Reino Unido
Spineman,4,Fascinating,Fascinating. Excellent read would recommend reading it through twice. Now annoyed that my parents didn't have me earlier in the decade and later in the year,2017-05-20,Reino Unido
Joe Borg-Costanzi,5,Educational. Shows very clearly how peoples' stories and statistics ...,Educational. Shows very clearly how peoples' stories and statistics .... Educational.  Shows very clearly how peoples' stories and statistics can be so misinterpreted.  Also throws a different light on the factors that contribute to success.  I shall say no more as it would spoil the surprises.,2017-08-21,Reino Unido
Amazon Customer,5,Five Stars,Five Stars. Great insight into success. Quite a revelation and once you know it kind of seems obvious. Would recommend.,2016-01-22,Reino Unido
Mikey,2,"Heard it was good, found it disjointed and didn't agree with many of his conclusions","Heard it was good, found it disjointed and didn't agree with many of his conclusions. Enjoyed the first few chapters but lost all interest half way through. Seemed fairly disjointed with not much organization. I disagree with some of his conclusions, and feel he has found cases that fit his theory, but thrown out others that do not.",2013-04-24,Canadá
poppy,4,Four Stars,Four Stars. given as a gift and was well appreciated,2016-04-03,Reino Unido
Beverley C.,5,Five Stars,Five Stars. Great read and very thought provoking.,2017-05-21,Reino Unido
Jeannie,5,Superb book on understand the drivers of social mobility,Superb book on understand the drivers of social mobility. I read it in 2 days. Truly inspiring and though-provoking. I cried on the chapter about the Christopher Langhans of the world and learned a great deal about parenting ( for future reference). I was challenged as an educator. I wish information like this was available when I was a teen and my parents would've been in their early 30s. I will use this as a tool in adjusting my social mobility.,2016-08-22,Reino Unido
o.p.,5,Relatively entertaining...,"Relatively entertaining.... A few insights here & there, but overall too simplistic. Clearly written to be a best seller, if you know what I mean.",2015-12-29,Reino Unido
Nina Flores,5,Great book,"Great book. Great book, with lots of interesting facts that make you think why people are so good at what they do. I won't give you more details because otherwise I will spoil the fun",2017-05-09,Reino Unido
gary o'sullivan,4,Good read,"Good read. This is an interesting book.  It seems to be well researched and the referenced studies are incorporated into the text very naturally. It's not a difficult book to read, and if you had a long journey coming up I'd recommend this book as a travel companion.",2017-02-09,Reino Unido
Moss,3,Some interesting ideas but nothing that hasn't been said before,"Some interesting ideas but nothing that hasn't been said before. I bought the book because it's GlDwell's bestselling work.  I was a bit disappointed.  His theories are actually fairly mundane and very often, he is repeating what has already been said before.  The book lacks the insight that I was looking for.  A mild disappointment.",2017-02-13,Canadá
andyosbo,5,One of my favourite books ever and a good present for other people,One of my favourite books ever and a good present for other people. One of my favourite books ever and a good present for other people,2017-04-26,Reino Unido
Vilius Kvedaras,4,Looks like super people not so special after all.,Looks like super people not so special after all.. Looks like super people not so special after all.,2016-08-18,Reino Unido
Panagiotis Dimitriadis,5,Eye opener,Eye opener. Simply amazing and eye opener.,2016-01-19,Reino Unido
