,x,y
715,interesting facts and easy reading. I would recommends this to a curious reader. The facts presented in this book are interesting and something to think about.,1
716,One Star. not bad,0
717,Received. Interesting read,1
718,Four Stars. This book has been completed and shared with others in my circle.,1
719,"Wow, interesting.. Malcolm Gladwell 's book is a fascinating collection of root causes. There are a multitude of answers to questions that I had never thought to ask. Malcolm Gladwell explores the roots of success to a depth that I never would have considered without provocation. I really enjoyed this book. I look forward to enjoying many new aha moments as I read the other books written by Mr. Gladwell. I had selected this book in hopes of discovering some recipe that I might employ to foster the interests of my children. I had hoped to discover the formula for helping to cultivate/ foster their ultimate success. This book did a great deal to inform my thinking. I do hope for a perfect storm of unique opportunities for each of them, but my strongest hope still remains their ultimate health and happiness. Thank you, Mr. Gladwell for the heaping mouthful of food for thought.",1
720,"Great book, good price. Great book, good price",2
721,"Blink was better but Outliers was still good. I read this book mostly cause I loved Blink. My attitude towards Gladwell has not changed,he is a great writer who raises thought provoking theories. Furthermore his introspective sociological theories are thoroughly backed with good logic.",1
722,A Must read for anyone and everyone who is on a journey of self development. Loved every word,2
723,"Not what I expected but a great read!. I was expecting a self help book on trying to be sucessful. No dont be mislead this is a book not telling you have success in your own control but rather the opposite. Its still a great book, that is written amazingly with some really relevant and interesting examples. The chapter on Bill Gates is a story I have found myself telling others about",2
724,"Some more interesting than others. While some of the stories and examples in this collection are, by far, more interesting than others, overall this was a really insightful read - quick, too!",1
725,"Intelligence does not necessarily guarantee success.. This challenged many of my long held beliefs that intelligent people will reach the top of their fields, whether in industry, business or sport. So much of success in life depends on when and where you were born and opportunities offered. I will be quoting from this book often. An excellent read.",2
726,"Compelling insights to see beyond the surface. Gladwell redefines ""outlier"" through an expansive study of the lives of successful people. His explanations take you far deeper than ""luck"" and ""hard work"". If it doesn't prompt you to serious introspection you need to read it again!",2
727,"Interesting but repetitive. This book was recommended to me by a friend, but it wasn't full of inspirational stories of success like I was expecting, rather talking about how people's successes are more a result of the opportunities they have been given. Contained interesting accounts of black box recordings though.",0
728,"Extremely fascinating and eye opening.. I really appreciated the fact that Gladwell did not try to say that he had found the single key to success. He made it clear that many factors contribute to success, and his examples really help the reader understand those different factors. It is easy to think that someone is successful because they are smarter, were given great advantages, worked harder, or were just plain lucky. This book helps one understand the role that intelligence, great opportunity, hard work, luck etc... actually play in success. I think this would be a great read for a book club. There is a lot that invites discussion. I usually read fiction, but am very glad that a friend recommended this book.",2
729,Five Stars. good,2
730,"Worth a listen, but seems like cherry picking.. Definitely some good points, and worth a listen, but I think a lot of his points are skewed. I do think environment matters, but the point he's making is that someone like Bill Gates wouldn't be in the place he's at without a lot of help. Sure. Duh. But how many other people had similar benefits/privileges and simply wasted them? I've sure seen people with tons of blessings heaped on them simply waste their gifts with virtually identical social factors (siblings, etc.). Could you point out differences? Sure. But I think personal factors aren't given enough weight in his calculations.",1
731,FascinAting. Couldn’t put this one down...a fascinating read!!!,2
732,Very interesting. I thought the examples were very intriguing. I would like to see some examples of what to do if you are not in the fortunate categories. How can you still become successful.,1
733,"Best book I've read in a long time. For a non-fiction book, this was entertaining like no other! Gladwell defines success as a coming together of as much opportunity as hardwork, instead of being defined by the genius of an individual. It was hard not to think about myself and people I know as I read it, and it humbled me many times and also infuriated me many other times. There might be some over generalizations based on the examples given in the book, but it never strayed from its overall ethos in my opinion.",2
734,Great Read. Interesting thesis on the pathway to success. I enjoyed even more the second time. It should be assigned reading in high school.,1
735,"Advice from a teen: don't even think about looking at it.. It's boring, it's confusing (it contradicts itself every other chapter), and I regret ever hearing about this book, much less having to read it for school.",0
736,Five Stars. A fascinating study into success. Very enlightening,2
737,Five Stars. Infinitely interesting.,2
738,Five Stars. #1,2
739,Great for traveling. This was a great book for me to listen to in the car. I listened to it on my trip home to Massachusetts. I would and have recommended it to friends.,1
740,First 4 chapters are great and last 3 are dragging. First 4 chapters are great and last 3 are dragging. Author should have cut the boring story of the air crash investigation.,1
741,"Interesting but not extraordinary. A book loaded with interesting insights, Outliers is compelling in the way that chain emails capture the attention with their surprising stories. But Gladwell's preoccupation with explaining individual greatness as the product of its unique environment seemed a socialist twist on suggesting that greatness is possible and achieved not by individual effort, but by circumstance, and therefor failure to achieve excellence is acceptable because the circumstances were obviously not favorable or conducive.",0
742,Five Stars. Good Book,2
743,"Makes you think. ""Outliers"" may not persuade you, but it will make you rethink the meaning of the words like ""intelligence"" and ""talent."" It will also make you question how much of ""success"" really comes from culture, cohort, and circumstance.",1
744,"My favorite Gladwell book so far. My favorite Gladwell book so far. I think I have read at least four of his books. Certain chapters really captivated me. Some of those were about birthdates, timing and certain things that had to be lined up for certain people to succeed, the 10,000-hour concept, and the plane crash chapter.",2
745,"DISAPPOINTED in Gladwell: Bad Journalism to make a point to wrong audience.... I like Malcolm, I really do. However I can not endorse with clear conscience his recent book. This book is fraught with incomplete and sometimes downright inaccurate statistics that are made up to make the point that Malcolm is trying to make (see some examples below).",0
746,Luck vs Success. I think the use of data can prove what ever you want it too. However I also think that luck has a lot more to do with even our own individual success than we're willing to admit. Over all it was a pleasant read that got me to look at the idea of success with fresh eyes.,1
747,"""This is not a book about tall trees. It's a book about forests.""",0
748,"Lucid and Entertaining. This and an additional title, Cradle to Cradle, were compelling listening. This book initially talks about the source of success but the thought provoking information goes much further. Read this for light entertainment or for much deeper reflection - it has the uncanny ability to reach eash of us where we are.",1
749,"Very Good. Must read book for everyone! It keeps you motivated with the purpose and skills you want to acquire. I loved this book throughout and it has a great connection. Don’t bother yourself with the difficult circumstance, you should keep going and excel yourself with the skills and follow your passion one day you will strike the target and achieve your goals. Must read for those who want to achieve something good in life and who dream big",1
750,Fascinating read. Fascinating read - thoroughly recommend Malcolm Gladwell's books,2
751,"Good but fairly general info.... This book was recommended to me by a professor of mine. It has a lot of good/interesting information in it but I'm not 100% certain that all the thoughts in this book are well laid out or at least aren't described thoroughly enough to convince me. I would still consider it a good read, like most of Gladwell's material.",0
752,"WOW!!!. This is a very very very special book that puts so much clarity, so eloquently, on such complexity. Truly magical!",2
753,"Another gem. Here is another great book by Malcolm Gladwell. A different way of looking at success and achievement. If you liked his other books, you'll like this one, too.",1
754,No one is a special snowflake - it's all down to science and circumstance. What you realize after reading the book: individual success is fake - oftentimes it is the result of multiple factors contributing to a single outcome.,2
755,Five Stars. fantastic brilliant amazing superb good,2
756,Book for Outliers. The examples for the application not appear at my country.,1
757,"I Recommend. I loved this book! Never boring, very interesting, gave me a new perspective on the importance of work ethic!",2
758,"Gladwell is a genius. Malcolm Gladwell is uniquely gifted in being able to first identify common assumptions and beliefs of social importance that are in fact questionable, then to make inspired connections that build a case for a contrarian perspective, and finally to present the evidence in a totally compelling, non-patronising and inspirational way. I have now bought 14 copies of Outliers for family and friends. Anyone with half a brain and an enquiring mind must read it. What a xmas present it makes! And, by the way, his latest book - 'What the dog saw' is just as inspirational - a fantastic expose of error and misunderstanding on matters of huge significance. We should treasure visonaries and communicators like Malcolm Gladwell.",2
759,"Good to know information. Well written and made me feel better about myself for not being an ultra rich genius, just an ordinary person. Comparison is the thief of joy.",2
760,Understanding our world. LOVE LOVE LOVE this book! Wow!,2
761,"Very Well Articulated.. The writing is simply spectacular, and Orwell does a great job of explaining the sociological elements that can determine success and failure. I've read it a couple of times, and it is inspiring each time. This is definitely a recommended read for anyone.",2
762,"It is easy to see why The Outliers. It is easy to see why The Outliers, The Story of Success, by Malcolm Gladwell was the number one national best seller. This book includes remarkable stories that I found fascinating and inspiring. This book is about many different people and stories from different walks of life and how they were able to find success. Malcolm Gladwell explored how culture, family, opportunities, and time periods shaped some of the most successful people. This is a very enjoyable, easy to follow, and relatable book that I loved to read.",2
763,Five Stars. good stuff. Enlightened and got answers to stuff one would always wonder.,2
764,Five Stars. Great book,2
765,a gift for a dear friend. a book everyone should read,2
766,"Very Interesting read. I found this book full of useful information. At times, it could be a little dry and redundant, but it is worth the time and energy to read through the whole book. I've listened to the audiobook at times and it helped break things up.",1
767,Everyone should read this. Loved this book. Should be required reading for all.,2
768,"Intersting, interesting, interesting. Gladwell alwasy provides food for thought. This book is very entertaining and iteresting. I love all the anecdotal evidence althogh he has statistics too. It definately makes you think differently about success. As usual, I'm not sure he got the title right. He seems to not come back around to the idea of outliers very well. I'd title it Hard-earned Success or Lucky Duck.",1
769,"like antibiotics that heal the wounds caused by motivational posters. The most amazing thing about this book is the near-total lack of pat answers, cliched figures, cheap opinions, and the like. It's as if the writer was truly interested in presenting an unbiased and factual look at a meta-understanding of sorts concerning his subject.",1
770,Very insightful. Excellent read and changed my views on why people perform better than others.,2
771,Very good book that came in excellent condition. Exceeded my expectations ... Very good book that came in excellent condition,1
772,"Success - Defined as so much more than any individual alone can determine.. I found this book presents a different and interesting way to look at what contributes to success. This makes you realize that there is so much more to what determines how we become who we are, the chances that we have access to based on so much more than we realize. It provides a broadening of perspective and a thought provoking larger world view as it applies to each and every one of us.",1
773,"A must read!. This book is so good! I love Malcolm Gladwell anyway but it's really interesting to read these stories. If you like the podcast Under The Influence (on the CBC), you'll love this book.",2
774,"A great read!. A very interesting and thought provoking read, thoroughly enjoyable!",2
775,Most of what is seen as talent is actually the product of earlier training and practice. This book is a really good reminder that hard work can pay dividends. Most of what is seen as talent is actually the product of earlier training and practice. You don't have to be porn in the top few precent of IQ to achieve at the top of your field. Anyone in the top 25% can make it to the top with training and practice. Even the people the average person can have considerable success with training and practice.,1
776,"waste of time. At 3.99, I thought I was getting a deal. Not the first time the ny times list has failed me..... I wish I could get my money back. This book states the obvious, which is harmless. But then the author extrapolates into the realm of ridiculousness. Save your time and your 3.99.....",0
777,Really interesting. I liked a lot this book. Many of the facts presented are mindblowing. Incredible the thinks that can makes the difference. But hard work is the most important one.,1
778,"Interesting facts and interpretations. I agree that successful people are products of circumstances and effort. However, the author elevates the importance of uncontrollable circumstance above hard work and controlled circumstances. In my experience in life, a lot of people, if not most, choose the path of least resistance. Opportunities are there, but they don't take it. Also, much of the circumstances that we find ourselves are products of our of own choices. The author brings the fact that he, by fortune, became best friends with intelligent people, but that was his choice. He didn't need to continue to be friends. I did enjoy the facts presented and the interpretations. Gave me valuable insight into different social and cultural structures.",0
779,Good book with lots of information. Lots of information in the book that makes you reflect and understand how timing fits into many things. Also different pieces of history throughout the book.,1
780,Must read. Must read,2
781,"hypothesis contrary to fact. The inclusion of charts, graphs, and lists in Outliers suggests that the book will be scientific in its attempt to show significant factors in the roots or causes of success. Closer examination reveals, however, that many fallacies in reasoning--for example, reasoning from anecdotes, metaphors, and correlations--throw his contentions into question or at least should make the reader question the significance of what he is saying. However the most egregious fallacy is ""hypothesis contrary to fact."" Although used frequently in informal speech, this device which postulates what might be true if something else had not happened, proves nothing. According to Gladwell, the Beatles would not have been famous if they hadn't had a 10 year period of practice, Bill Gates owes his success to having access to a computer lab when he was in school, the first officer of Korean Airlines plane could have landed the plane if he hadn't shown such deference to the pilot. Or consider,"" If a million more teenagers had been given the same opportunity, how many more Microsofts would we have today?""",0
782,"A different book. I was told how good this book was so I purchased it. It is a different approach to the subject of doing well in ones work. It gives a good outlook on those who may not be considered ""winners"". It was a challenging book for sure and I would recommend it to all those who want to succeed in life.",1
783,"Intelligence does not necessarily guarantee success.. This challenged many of my long held beliefs that intelligent people will reach the top of their fields, whether in industry, business or sport. So much of success in life depends on when and where you were born and opportunities offered. I will be quoting from this book often. An excellent read.",2
784,Great idea but terrible writing. The original idea of this book 5/5.,0
785,"great title, thought-provoking findings. great title, thought-provoking findings, especially with the notion of predisposition and precondition of some of the personal (and broad cultural) success stories told by the author",1
786,"Completely facinating. Wow, anyone who teaches or is in business should read this book. It opens your eyes as to demographics and why some people succeed and others fail. For example, the National Hockey League is full of January through March birthdays because the cut off date is typically January 1st for youth leagues. The older kids have a huge advantage, almost a year older when they start playing at 4 or 5. Plus, once they get going at that age, the older kids make higher levels (traveling teams), thus better coaching and more ice time. This applies to school, other sports, and other facets of life.",2
787,Excellent!. I love this book so excited to read it . Get it super cheap and it’s in better condition than i was expecting! Thanks,2
788,Three Stars. It is ok,0
789,"Very interesting!. Fascinating!! Some of it just makes sense. I typically do not enjoy books about too much science/stats/charts/etc and to be honest skip over that. However, in this book it was easy to read and to understand. It was a very good balance for me.",2
790,Encouraging tool. Excellent life examples that help to make a plan or mision to accomplish a life project. Everybody can make a difference!,1
791,"A little dry in some places, but overall very interesting! A di. A little dry in some places, but overall very interesting! A different perspective to be considered!",1
792,"success. The author's views are very interesting. Age as a factor in sports or school has always been known to teachers. My area allows school entrance with birthdays up to about through October. So children born in November, December and January have an age advantage in sports and studies.",1
793,Eye opening. Malcolm Gladwell relates some very compelling arguments and data points in this novel. A must read,2
794,Insiteful read. Practical demonstration of theory which can be applied to lots of situations especially liked the air safety chapters and the paddy fields,1
795,"May the odds be ever in your favor.. An interesting, thought provoking and entertaining read. Timing, preparation, and opportunity. 2/3 of which is out of your control. Good Luck takes on a whole new flavor as Gladwell presents a series of fascinating case studies showing the highs and lows of success and reminding us all how blessed we are.",2
796,"Excellent read. I bought this book originally as a result of the Asian airlines accident in San Francisco. I found the cultural insight as to what went on in the cockpit fascinating. As a pilot, I know that two pilot operations are inherently more safe than a single pilot. I will not be flying any Asian airlines anytime in the future! This book appears to be well researched and thought out, I learned quite a bit having read this. The book became drawn out at the end. It unnecessarily went over same material discussed earlier in the book.",1
797,Brilliant!. An interesting account of some of the world greatest and those outliners that may be less known. The book was gripping from start to finish.,2
798,"Fascinating look at what makes people successful.... I really enjoyed the diverse fields and examples from which Gladwell draws to make his points. I feel, however, that he chose very specific fields which support his theses (boom of industrial tycoons with Rockefeller, Carnegie, etc.; software titans with Gates, Jobs, etc.; and Jewish lawyers in New York). Other obscure fields likely have several very successful people from widely diverse backgrounds. Therefore, the central thesis of success being born out of support of others outside of yourself (family, culture, etc.) and opportunity seems correct. Also, I like the 10,000-hour principle he refers to significantly throughout the book as another primary thesis. A secondary thesis that success in a certain area will likely be able to tie back in to one very specific demographic is too narrowly supported and evident of confirmation bias.",1
799,"Thought provoking, yet easy to read. Having read his previous 2 books I pretty much knew what to expect from this one with respect to writing style. Gladwell's books are well written, very easy to read, and short. He lays out his thesis through a series of anecdotes, almost a set of magazine articles, which labor the point a little too long. Each anecdote is supported by data, but not to the point of overwhelming the reader, and certainly not ""comprehensive"" data on the topic.",1
800,"Gladwell makes a great case for ONE important aspect of success.. If you’re looking for motivation or ways to boost your chances of success, you may be disappointed. The author makes an excellent case for background including culture, the year that you were born, and opportunities handed down as being the most important reason behind success. However, he neglects to mention the importance of mindset as well as personality traits such as self awareness and stepping out of your comfort zone in order to PUT yourself in positions to receive more opportunities which I’m sure many would argue are the other major factors in success. Regardless, this book is still worth a listen as you will gain more insight into one of the many aspects of what makes successful people.",1
801,From the quality of the paperbook it is easy to tell that it is a duplicate book.. It looked like a duplicate book. You can easily tell the book is duplicate from the quality of the paper book. I picked a copy from barnes and nobles.,0
802,"Good book but repetitive. I kind of liked the book at first but then it became a bit repetitive for me. Like, okay, I get it, Malcolm. I didn't expect it to be a bunch of examples to prove the same point. I started skipping them towards the end.",1
803,Great Read. Would recommend.. Similar writing to his other works. I've really enjoyed the way he thinks.,1
804,"Interesting. Had to read this for school, honestly I was not at all excited to read this book. But after starting, overall it’s actually pretty good and interesting, I found I read my way through pretty quickly, it had its slow moments/less interesting but overall a pretty decent book.",1
805,"Thought provoking. I enjoyed hearing the author read his book about interesting and compelling considerations as to why people and businesses are successful. This book is somewhat drawn out and redundant, however, the author makes his point of view clear.",1
806,Outliers. I disliked this book because it was slanted towards Caucasian examples of what the author term ‘success’and after the 6th chapter I gave up. It seemed that they equated happiness with being wealthy and entrepreneurial.,0
807,"Thoughtful. This was an eye opening book, it was consistent and gave you the opportunity to self analyze and think the situations in the book for yourself. It was open minded, but it had a clear message. Certainly recommend for those who want to dig deeper into the meaning of success.",1
808,"Gladwell's Outliers Connected to the Teachings In a 12th Grade English Class. Through the reading of the novel Outliers I have concluded that this particular book contrasts very well with the lessons being taught in my senior English class. Throughout the entire course we are connecting everything we learn to one essential question. To what extent do time and place define a person? I feel that Gladwell's Outliers is a great example of real life situations that connect perfectly to this question. Gladwell talks a lot about success and why and how a person gains it. This is the base of the essential question I am studying in my class because success is one of the main things that defines a person. Every chapter in this book relates to the essential question in one way or another. In the chapter The Three Lessons of Joe Flom, Gladwell focuses mainly on how disadvantages became opportunities. He tells the story of a family living during the depression and how he gained success. The Janklows story focuses on being in the wrong place at the wrong time and how they took advantage of the situation to find the success they needed. I enjoyed how Gladwell told the story of the Janklows and interpreted in his own way. In the chapter Rice Paddies and Math, Gladwell focuses on how hard work and the right opportunities will give a person success. He mentions the Asian society and the work styles they have. Due to where they lived technology was not available which forced them to focus on their work. He states that they worked harder than any other occupation pore modern era. Living in a place with less technological advantages really helped the workers gain the success they were looking for. In the chapter Marita's Bargain, Gladwell turns his attention over to a young girl who is given a chance. Marita's story connects perfectly with the essential question. She is underprivileged and living in poor community with her mom and because of this she is given the opportunity to attend a special school. Due to Marita's living conditions she was given the opportunity to possibly make it somewhere in her life. If she had been living somewhere else she might not of gotten the chance she did. This one change in her life helped define who she is as a person today and changed her life forever. I particularly liked this chapter because I felt it connected the most to the essential question. Marita was given an opportunity because of where she was living and what was going on in her life at the time. The entire book Outliers reflects the essential question I am studying and each chapter has a point in it that can connect perfectly to it.",1
809,"Outlier. Malcolm Gladwell is one of my top authors, love his stuff, read Blink and Tipping Point, and again he does not dissapoint with his insightful material that just puts things in different perspectives that just make too much damn sense. You may end up getting a new spark of confidence to feel that you can make things work for you and act upon opportunity; and if you can't you will feel fine too because maybe it just wasn't meant to capitalize on certain things due to the place and time you were born in. Cultural Legacy is I believe the most important concept spoken that our Educational institutions should implement and be able to provide that to a child to be able to perform better in life, regardless of the socio-economical background. Regardless, a great read!",2
810,"Inspiring Read. Very good read, this book helped open my eyes and view the world in a different way. I always thought that rich amd successful people were born that way, I never knew that luck had such a big factor in it.",2
811,A New Take on Success. This book is the most fascinating I have read that looks at success from a different vantage point. Well researched he maintains his theme that success is not accidental or simply luck. This book should be on high school reading lists.,2
812,Love the time of the year you were born facts. Very interesting facts.,2
813,"A little drawn out !. Very interesting but somewhat repetitive narrative , I suspect the message could have been delivered in a couple of chapters!!",0
814,"Insightful and worth reading. Loved it! It tweaked my perspective on success. this book was engaging, insightful and entertaining. I recently started reading frequently and books like this would definitely make me keep reading.",2
815,"Good but not great. Tipping Point and Blink were a much better read then this latest effort from Gladwell. Still, I enjoy his incredible research!",1
816,"Are you an outlier? Read this to find out!. This is a very interesting read. His perspectives about when and where you were born are fascinating. Practice and hard work are very important to succeed in life, but the luck of your heritage play a much larger part than most would believe. Malcolm Gladwell's own story is proof of this.",2
817,"phenomenal book. I came across this by accident, read the blurb and was fascinated. The book itself didn't disappoint in the slightest. Gladwell writes in a very engaging, readable manner. Fascinating topic...how does success occur? Where does it come from? With compelling research and intriguing stories, he makes a clear case for nurture over nature.",2
818,Five Stars. I consider this one the best of the trilogy with blink and tipping point as the other two,2
819,"This book should be required reading in high school. Although the theme prevalent in this book may seem very familiar to some successful people, it is a good guide for those who think that all you need are good connections and a lot of luck. This book should be required reading in High school.",1
820,"Well written and provocative but a bit myopic. Interesting stories and statistics about how ""life is not fair"".",1
821,Good service. Product was as described. I am happy with my purchase,2
822,"A great read, reaffirmed my beliefs. Malcom Gladwell enunciates what each one of us know deep within their thoughts. There were circumstances and brought each one of us where we are with the amount of work that we put in.",2
823,"Definitely recommend!. Just read it, amazing book!",2
824,Five Stars. What a wonderful new way of looking at the world!,2
825,Very interesting. Very interesting,1
826,A fresh way to look at success. A very fresh way to look at success. Excellent style to tell stories.,1
827,Excellent Novel. This book really illuminated a lot of truths about life to me. I've always had this mindset of working hard but also bring interdependent and needing to take advantage of any good situation. This book strengthened that view and showed me a world of numbers I was completely blind to. I've already recommended it to a few friends.,1
828,"dry but good. This book was informative and somewhat entertaining but a bit wordy and exhaustive in supplemental information to frame any given example. That said, the book was good and I did get a lot out of it.",1
829,Outliers are less mythic than we think in the end. Always historicize is a dictum espoused by Fredric Jameson and other cultural critics when it comes to understanding phenomena. Malcolm Gladwell here adds to the materiality of success as a phenomenon that is essentially not abnormal or irrational—the oddity of success can be historically explained if we keenly study the opportunities made available to a seeming outlier. Brilliant message that has the ring of truth in spite of any perceived rhetorical weakness or sub-scholarly merit some critics are quick to point out. Gladwell’s seeming unwillingness to do the academic dance expected of scholars is refreshing: He’s a popular cultural critic who seems to want to make academic inquiry and discovery a layman pursuit.,2
830,Five Stars. Everyone should read this book. I've 5 copies for friends and family.,2
831,"Fast delivery, good quality paper. Fast delivery, best quality for price, have little mark on cover the rest okay",2
832,The Book was old/second hand while the cost was high. The book was practically in very bad condition and it seemed second hand,0
833,A good read but I think the author is overly adept .... A good read but I think the author is overly adept at synthesis and making connections that might be a little far fetched. Thought provoking and worth a read though.,1
834,Five Stars. I like Malcolm Gladwell books.,2
835,"Interesting but lacking. Malcolm Gladwell makes a clear, informative and compelling case, and I definitely enjoyed it and learned from it. However, as valid as his points are, he leaves out a few very important components that should have been addressed (although he refers to it lightly). The most notable is the individual's desire to succeed or even their acceptance of personal responsibility for their role in their success. Very enjoyable, educational and thorough, but with some glaring holes.",1
836,"Superb. A tremendously entertaining read. Gladwell has a penchant for quirky insight and captivating rhetoric for conveying it. I strongly recommend this book, especially for all educators.",2
837,It’s brand new but I received this book front cover ripped. What I don’t like is I received it ripped . It’s new but the front cover ripped,0
838,"Outliers: The Story of Success. A very interesting book with some new concepts that I had never even figured were possible. For example, the concept that anyone is ever, ever an ""overnight success"". Apparently, there is no such thing. Anyone that appears to be an overnight success has already spent at least 10,000 hours learning their craft. This book has forever changed the way I think about success and it's achievement. Most of us may be doomed to mediocrity.",2
839,Not worth the time. Simplistic premise based on limited examples. Could have been done in 25+ pages rather than 200+. Lost interest early on in the reading.,0
840,"Feel good book for egalitarians. Worried why you or your kids didn't turn out to be outliers like Bill Gates, Sidney Crosby, Shakespeare or Mozart? Fret no more, it's not your fault. It turns out, according to Gladwell's research, that success is 1% talent, 2% hard work and 97% luck. In other words (Spoiler Alert) there are no outliers.",0
841,"Four Stars. Great anecdotes, good concepts, fair organization. More accessible than most books on the subject.",1
842,"Understanding what makes success helps in creating it; must read.. Very well written, easy to read and follow analyses of factors that contribute to success (or failure when missed), applied to examples in sports, business (computer industry, lawyers), education and aviation. Divided up into two parts; whereas the second part tries to focus on cultural legacy in general as a giant 'sleeper' (unknown) factor, the first part describes and zooms in on seemingly random examples in order to introduce us to the factors that are not generally known or associated with the successes high-lighted/discussed.",2
843,Another way of looking at the world. Another fascinating book by Malcolm Gladwell who manages to see what the rest of us see but to analyze it in an entirely new light. Worth the read.,2
844,Nice product. nice book and delivery boy is very honest 😊,1
845,Super inspiring. What a wonderful book.,2
846,"NOT all it's cracked up to be. I'd give this a single star, but the creativity of the subject is enough to warrant at least two stars. Plus everyone seems to discount one-stars as vendetta reviews.",0
847,"Four Stars. A good book, culturally relevant. A new perspective of examining life and what it means to be successful.",1
848,Fair. It's not really copy,0
849,Interesting Book. Gladwell causes you to look at several people and professions in a different light. I think it is definitely worth reading.,1
850,Three Stars. as expected,0
851,"There are three types of lies:. Mark Twain once said ""there are three types of lies: lies, damned lies, and statistics"" this book was written from a point of view that environments control everyone's destiny. Although I agree that environments have great influence on a majority of peoples lives, the author doesn't explorer all the ""true"" outliers that don't meet his hypothesis and ways those individuals were capable of doing so beyond his 10,000 hour theory, which I agree. A final note: read this book with an open mind and understand that you can use to statistics the prove any hypothesis if you don't show all the data.",0
852,"Different view on being a superstar. Dispelling common beliefs about those in our world that excel beyond others provides a valuable lesson and insight into what it takes to be considered extraordinary in the world today, yesterday, and tomorrow",1
853,"Good Read.... A lot of good research information to ponder over, for the reading enthusiast!! Ta-ta!",1
854,"I now want to read other Malcolm Gladwell books. I enjoyed the book and the information was fascinating. If you liked Freakonomics, and you like the way Michael Lewis looks at the world, you will enjoy this as well.",1
855,"What it takes to be exceptional. Environment. Luck. 10,000 hours of immersion in something you love and keep getting better at doing. Explains some of the luck (being born in the right month, being born in the right year, when your passion aligns with the cultural moment that needs that passion).",2
856,"Read this book. It's captivating and well written.. Malcolm Gladwell does a very good job addressing some of the clearly misguided impressions of the modern culture that thinks someone who has been successful somehow stumbled onto the opportunity and got lucky. Well, ""Outliers - The Story of Success"" describes individuals who were in the right place, at the right time, and were prepared to take advantage of the opportunity presented to them. They weren't the blindly lucky...they were the ultimately prepared by thousands of hours of progressive learning and practice.",1
857,"provoked lots of good discussion.. Read it in my book group, provoked lots of good discussion.",2
858,"Eye-opening. Well written and at times humorous, ""Outliers"" weaves together hockey players, Bill Gates, lawyers, and Chinese rice farmers to broaden our understanding of how and why some achieve success, while others who seem equally qualified plod on.",2
859,"A thought bubble that lacks substance. OK, so I like Gladwell's books. Typically he rises above the noise and hyperbole we expect from the 'guru' class of North American authors. He usually avoids pseudo-science and stimulates deep thinking and interesting from hidden systems-level linkages. Well, usually.....In Outliers the reliance on narrative and the absence of substance left me feeling this book was just a thought bubble generating revenue in between the real works. Interesting but, at the price, adding little to my own understanding or deeper reflection his earlier and last works triggered. I started to skip through anecdotes that were too U.S. culturally oriented to translate beyond a specific context. Meant to be 'case studies' these stories produced threads of logic that didn't knit together. Upon reaching the end I literally threw may hands because I was still waiting for the punch line. Maybe I had completely missed the point. Maybe it is me and I simply ""didn't get it""...",0
860,Great book. Great book,2
861,got it for my daughter no complants. got it for my daughter no complants,2
862,Four Stars. good read,1
863,"Great Book with great views, lost me as it went on. Gladwell does a great job of showing you ""the other side of the coin,"" when it comes to success. Gladwell examines factors those who are successful have no control over. Advantages they inherently had. He uses studies as a basis or proof on what he is explaining, which I thought was cool and really validated what he was saying. He picks great examples and this really helps the book. The examples are strong, well rounded and of very successful people (Bill Gates, Bill Joy - SUN Microsystems, The Beatles, Youth Athletics, American VS Western Education/Cuture)",1
864,Four Stars. Fascinating read.....,1
865,Enjoyable read. Having read reviews for and against the book I thought I would read it - especially as it was a Kindle special. It's an easy read and although a little repetitive I did enjoy it and do think he makes some good points. In the end it's probably a little too simplistic in its conclusions but that doesn't spoil it as a good book.,1
866,"Gladwell Classic. One of my all time favorite books, which lead me to more Malcolm Gladwell books. He’s the best.",2
867,"I personally learned a lot from the book, I've never thought of. I personally learned a lot from the book, I've never thought of success in  such a complex way before. It kinda made a lot of success stories i didn't understand, understandable. When looking at a successful person, the first thought you think is &amp;lsquo;This person is lucky&amp;rsquo;. Really, success has many different causes, and some causes a person just can&amp;rsquo;t apply to their own life. Some of these causes are birth place/time and opportunity. The random causes of life can make or break the opportunities you have. I wasn&amp;rsquo;t aware of this study before reading the book and it made me think of all the successful people I know and why they might be successful. The book makes me look at the external factors of that person&amp;rsquo;s success first. It makes you feel bad about judging the people with the &amp;lsquo;Lucky&amp;rsquo; title because you don&amp;rsquo;t know what causes they might have had.",1
868,"Not really Malcolm standard. This book reads more like trying to form some pattern within a collection of anectodes. The various stories make this book an interesting read, but somehow the explicit link to outliers is not found in some of them",0
869,Five Stars. fantastic brilliant amazing superb good,2
870,Four Stars. okay,1
871,A unique explanation for why some do and some don't.. Gladwell finally explains what I had suspicioned without the tools to understand just why it is that there have been clumps of people that have been to successful within an era. A most fascinating read.,2
